"Name","RPKM","Total gene reads"
"AT1G01010","2.8288738234","79"
"AT1G01020","7.4809276049","260"
"AT1G01030","3.0274938016","93"
"AT1G01040","7.4865954994","770"
"AT1G01046","0","1"
"AT1G01050","87.0494524305","1380"
"AT1G01060","112.1021880961","5868"
"AT1G01070","11.2909690969","265"
"AT1G01073","0","0"
"AT1G01080","44.0483283304","975"
"AT1G01090","110.8033198975","2910"
"AT1G01100","289.4328086582","3184"
"AT1G01110","1.407142777","45"
"AT1G01115","0","0"
"AT1G01120","101.3332810855","3103"
"AT1G01130","7.772520646","119"
"AT1G01140","74.4395486842","2132"
"AT1G01150","0.3685089531","8"
"AT1G01160","20.491374294","416"
"AT1G01170","82.1244435124","700"
"AT1G01180","5.6425023687","107"
"AT1G01183","0","0"
"AT1G01190","3.1238794673","82"
"AT1G01200","2.1471516713","40"
"AT1G01210","18.4232256608","185"
"AT1G01220","7.4972583097","431"
"AT1G01225","3.4486274792","57"
"AT1G01230","20.9448998331","283"
"AT1G01240","6.1343844094","192"
"AT1G01250","5.9061707037","80"
"AT1G01260","7.1000419213","305"
"AT1G01270","0","0"
"AT1G01280","0.0387108567","1"
"AT1G01290","9.4007753743","188"
"AT1G01300","34.5812453714","1016"
"AT1G01305","0","0"
"AT1G01310","0.3173735537","5"
"AT1G01320","95.6184650529","9393"
"AT1G01340","2.6909771845","111"
"AT1G01350","15.326512976","346"
"AT1G01355","0.0902689846","1"
"AT1G01360","9.9843815745","162"
"AT1G01370","4.1884990827","71"
"AT1G01380","3.1662482029","30"
"AT1G01390","4.2274458356","115"
"AT1G01400","0.0541613907","1"
"AT1G01410","0","0"
"AT1G01420","6.9766641437","171"
"AT1G01430","29.6855218132","792"
"AT1G01440","7.7064757763","280"
"AT1G01448","0","146"
"AT1G01450","0.1316662259","3"
"AT1G01453","0.0989071649","2"
"AT1G01460","0","0"
"AT1G01470","153.3735855769","1813"
"AT1G01471","0","0"
"AT1G01480","1.8111067263","65"
"AT1G01490","52.882477071","1068"
"AT1G01500","9.1685114003","217"
"AT1G01510","17.8418428217","622"
"AT1G01520","19.3796226214","292"
"AT1G01530","0","0"
"AT1G01540","40.0960397242","1299"
"AT1G01550","103.225392077","2685"
"AT1G01560","3.6628620066","103"
"AT1G01570","0.7768032449","19"
"AT1G01580","2.162408701","86"
"AT1G01590","0.1172856594","4"
"AT1G01600","6.9956585034","244"
"AT1G01610","42.7019960519","1292"
"AT1G01620","203.4919640146","4309"
"AT1G01630","36.4459336813","719"
"AT1G01640","0.6238912715","10"
"AT1G01650","21.4537660155","797"
"AT1G01660","0.7265939354","21"
"AT1G01670","1.0108718816","23"
"AT1G01680","1.1567526041","20"
"AT1G01690","2.6022755671","74"
"AT1G01695","0.2857824534","6"
"AT1G01700","1.063353779","35"
"AT1G01710","14.0354506048","601"
"AT1G01720","32.9394679935","730"
"AT1G01725","14.3742896265","108"
"AT1G01730","18.3318452225","269"
"AT1G01740","3.7473393505","106"
"AT1G01750","0.7257908082","11"
"AT1G01760","1.9852296344","48"
"AT1G01770","4.4371295147","180"
"AT1G01780","5.0853450627","77"
"AT1G01790","51.3072023358","3253"
"AT1G01800","43.2635072582","770"
"AT1G01810","0.7763980268","8"
"AT1G01820","29.054640327","501"
"AT1G01830","8.3112608356","343"
"AT1G01840","2.3387573772","31"
"AT1G01860","9.2792504166","217"
"AT1G01870","0","0"
"AT1G01880","0.6835297758","22"
"AT1G01890","0","0"
"AT1G01900","5.4956198133","218"
"AT1G01910","25.4886486147","681"
"AT1G01920","5.7680767843","205"
"AT1G01930","6.4837876984","209"
"AT1G01940","10.363885141","125"
"AT1G01950","8.3551649653","417"
"AT1G01960","13.260669892","1179"
"AT1G01970","25.9867929293","692"
"AT1G01980","0","0"
"AT1G01990","15.5564317641","295"
"AT1G02000","6.8944013997","198"
"AT1G02010","5.3695734873","218"
"AT1G02020","6.6719729488","251"
"AT1G02030","0.1599968844","5"
"AT1G02040","0.0636049153","1"
"AT1G02050","3.0251118238","64"
"AT1G02060","2.4498264334","86"
"AT1G02065","1.4220740029","47"
"AT1G02070","0.8213879787","8"
"AT1G02074","0","0"
"AT1G02080","14.9258441633","1827"
"AT1G02090","22.8023046154","612"
"AT1G02100","18.3667503589","438"
"AT1G02110","10.2643325345","392"
"AT1G02120","31.3215542104","1065"
"AT1G02130","27.4541490299","453"
"AT1G02140","104.9116487794","1344"
"AT1G02145","9.8202078434","292"
"AT1G02150","49.7741762992","1535"
"AT1G02160","22.2028269045","203"
"AT1G02170","18.6137213681","406"
"AT1G02180","5.1341222457","77"
"AT1G02190","0.6563921882","23"
"AT1G02205","110.4444045045","4295"
"AT1G02210","0","0"
"AT1G02220","5.1793581226","114"
"AT1G02230","0.5736798556","10"
"AT1G02250","0.113893099","2"
"AT1G02260","3.9879037044","141"
"AT1G02270","13.9109169552","376"
"AT1G02280","75.1150211042","1429"
"AT1G02290","4.0245587981","110"
"AT1G02300","5.1552639149","106"
"AT1G02305","38.1697300699","870"
"AT1G02310","1.3384487566","30"
"AT1G02320","0","0"
"AT1G02330","24.8528090479","425"
"AT1G02335","17.7398083996","239"
"AT1G02340","0.84138186","17"
"AT1G02350","1.9058919647","23"
"AT1G02360","5.8273049228","95"
"AT1G02370","4.4447462121","126"
"AT1G02380","3.2086154849","60"
"AT1G02390","9.0027057627","273"
"AT1G02391","0","0"
"AT1G02400","7.3176528733","185"
"AT1G02405","0.5883756394","5"
"AT1G02410","19.6696577899","379"
"AT1G02420","2.0167412159","48"
"AT1G02430","0.7996176669","17"
"AT1G02440","0.7575978128","9"
"AT1G02450","2.8657482619","25"
"AT1G02460","2.0270763163","59"
"AT1G02470","3.6437262809","56"
"AT1G02475","44.6586610418","677"
"AT1G02480","0","0"
"AT1G02490","1.0600819212","2"
"AT1G02500","235.5995765624","5834"
"AT1G02510","0","0"
"AT1G02520","0.1281628362","8"
"AT1G02530","0.1085801768","7"
"AT1G02540","0","0"
"AT1G02550","0","0"
"AT1G02560","161.673164944","3504"
"AT1G02570","0.0684489982","1"
"AT1G02575","0","0"
"AT1G02580","0.0270688749","1"
"AT1G02590","0","0"
"AT1G02600","0","0"
"AT1G02610","2.9782984605","49"
"AT1G02620","0.0902689846","1"
"AT1G02630","0.8479337679","22"
"AT1G02640","6.2638780238","263"
"AT1G02650","0.5630396196","14"
"AT1G02660","5.7997736078","251"
"AT1G02670","0.7002161144","26"
"AT1G02680","10.1192825507","150"
"AT1G02690","6.2334456267","195"
"AT1G02700","0.6622938993","12"
"AT1G02710","3.1966387829","15"
"AT1G02720","6.1845814752","187"
"AT1G02730","10.0729787325","626"
"AT1G02740","6.1121478472","133"
"AT1G02750","10.9766182528","188"
"AT1G02760","0","0"
"AT1G02770","0.3564068528","7"
"AT1G02780","554.0429221046","9235"
"AT1G02790","0","0"
"AT1G02800","2.8476180178","82"
"AT1G02810","0.9110252817","30"
"AT1G02813","0","0"
"AT1G02816","13.8903301088","226"
"AT1G02820","163.4568755474","1630"
"AT1G02830","0.1614968552","1"
"AT1G02840","64.7770572941","1699"
"AT1G02850","5.7408372111","170"
"AT1G02860","6.9904611064","174"
"AT1G02870","21.4808059044","293"
"AT1G02880","11.5402080961","316"
"AT1G02890","18.8101028474","1256"
"AT1G02900","5.7837630207","54"
"AT1G02910","38.515288529","979"
"AT1G02920","19.8447335643","296"
"AT1G02930","61.1518778376","1072"
"AT1G02940","1.1260792392","14"
"AT1G02950","8.2686389851","125"
"AT1G02952","0","0"
"AT1G02960","7.1821952384","203"
"AT1G02965","0","0"
"AT1G02970","1.4033519829","42"
"AT1G02980","0","0"
"AT1G02990","5.5385335557","407"
"AT1G03000","6.2414887823","321"
"AT1G03010","0.8863476759","32"
"AT1G03020","6.2215487509","31"
"AT1G03022","0","0"
"AT1G03030","9.820929947","219"
"AT1G03040","29.5592485698","710"
"AT1G03050","0.0626095834","2"
"AT1G03055","12.8426155879","226"
"AT1G03060","4.0706808167","744"
"AT1G03070","0.5139347436","12"
"AT1G03080","16.8551362158","1562"
"AT1G03090","5.9016379556","254"
"AT1G03100","0.9081164203","38"
"AT1G03103","0","0"
"AT1G03106","0.066468159","1"
"AT1G03110","16.0984691239","413"
"AT1G03120","0.9036763918","8"
"AT1G03130","967.9730430763","13923"
"AT1G03140","22.6914832856","530"
"AT1G03150","17.0269416517","205"
"AT1G03160","17.1234874505","826"
"AT1G03170","0.3533606404","6"
"AT1G03180","2.151280323","52"
"AT1G03190","4.1179075422","185"
"AT1G03200","4.0873385892","29"
"AT1G03210","7.8508854475","125"
"AT1G03220","50.8278102321","1254"
"AT1G03230","9.4549849913","229"
"AT1G03240","0.3933284929","4"
"AT1G03250","22.7629547312","444"
"AT1G03260","5.5869182332","124"
"AT1G03270","5.0438697809","125"
"AT1G03280","17.2571410697","533"
"AT1G03290","13.4827055466","480"
"AT1G03300","3.3887864693","115"
"AT1G03310","15.7607814158","763"
"AT1G03320","0.1870732802","2"
"AT1G03330","30.5802970731","360"
"AT1G03340","1.3855385048","29"
"AT1G03350","21.4367761844","607"
"AT1G03360","16.3868201406","337"
"AT1G03365","6.5600979254","309"
"AT1G03370","9.1648286974","563"
"AT1G03380","7.510901972","455"
"AT1G03390","0","0"
"AT1G03400","23.9830669593","482"
"AT1G03410","12.2532998535","527"
"AT1G03430","13.4919987343","235"
"AT1G03440","12.1648692928","327"
"AT1G03445","0.0227410313","1"
"AT1G03457","4.2670728708","123"
"AT1G03470","2.3373658719","55"
"AT1G03475","80.3451315751","1880"
"AT1G03490","0.0733035371","1"
"AT1G03495","10.6897644414","302"
"AT1G03502","0","13"
"AT1G03506","0","2"
"AT1G03510","0.6249552721","13"
"AT1G03515","0","0"
"AT1G03520","5.1196487082","170"
"AT1G03530","9.2509571114","388"
"AT1G03540","0.9488602114","28"
"AT1G03550","4.3873740243","108"
"AT1G03545","0","1"
"AT1G03560","3.9051443544","142"
"AT1G03570","0","0"
