"Name","RPKM","Total gene reads"
"AT1G01010","6.6769452562","197"
"AT1G01020","6.7134966017","229"
"AT1G01030","3.3241456601","109"
"AT1G01040","6.511914188","718"
"AT1G01046","0","1"
"AT1G01050","111.6687215838","1886"
"AT1G01060","0.5029983305","28"
"AT1G01070","4.9682359242","124"
"AT1G01073","0","0"
"AT1G01080","59.0631141053","1389"
"AT1G01090","96.9462040493","2716"
"AT1G01100","349.604581928","4092"
"AT1G01110","2.2598239421","72"
"AT1G01115","0","0"
"AT1G01120","51.7329412522","1691"
"AT1G01130","5.4223220033","75"
"AT1G01140","97.3036568376","2923"
"AT1G01150","0.1479532441","3"
"AT1G01160","31.4034092854","655"
"AT1G01170","118.223164898","1064"
"AT1G01180","12.9432248985","262"
"AT1G01183","0","0"
"AT1G01190","2.9264930855","81"
"AT1G01200","2.7805768201","49"
"AT1G01210","12.1662721201","130"
"AT1G01220","10.642217085","654"
"AT1G01225","2.6072489075","47"
"AT1G01230","30.4446994346","438"
"AT1G01240","15.085285326","504"
"AT1G01250","1.9365435726","28"
"AT1G01260","5.9099471641","271"
"AT1G01270","0","0"
"AT1G01280","0","0"
"AT1G01290","8.475337396","192"
"AT1G01300","36.7007955883","1151"
"AT1G01305","0","0"
"AT1G01310","0.0594639787","1"
"AT1G01320","83.6227484466","8763"
"AT1G01340","5.3627360472","237"
"AT1G01350","21.5786283804","521"
"AT1G01355","0.2536956645","3"
"AT1G01360","12.3745134289","215"
"AT1G01370","4.8608805401","86"
"AT1G01380","2.2502090808","22"
"AT1G01390","0.964254061","28"
"AT1G01400","0","0"
"AT1G01410","0","0"
"AT1G01420","6.612277067","173"
"AT1G01430","32.4093893879","926"
"AT1G01440","10.4369322665","404"
"AT1G01448","0","337"
"AT1G01450","0.0411155748","1"
"AT1G01453","0","0"
"AT1G01460","0","0"
"AT1G01470","388.134475878","4891"
"AT1G01471","0.2689643851","1"
"AT1G01480","1.7259225194","63"
"AT1G01490","51.8290685612","1061"
"AT1G01500","7.8734215067","198"
"AT1G01510","19.0599021693","707"
"AT1G01520","0","1"
"AT1G01530","0.2317671829","3"
"AT1G01540","54.854130156","1887"
"AT1G01550","107.584373844","2925"
"AT1G01560","11.959005922","357"
"AT1G01570","1.9405864611","50"
"AT1G01580","0.8923052576","38"
"AT1G01590","0.3296244379","12"
"AT1G01600","5.9627277825","223"
"AT1G01610","30.4567386229","978"
"AT1G01620","197.8294741365","4457"
"AT1G01630","38.9240428807","819"
"AT1G01640","2.8639024665","49"
"AT1G01650","29.1004926045","1168"
"AT1G01660","0.7827856269","27"
"AT1G01670","2.0998665245","52"
"AT1G01680","7.6458352452","137"
"AT1G01690","3.1589008631","97"
"AT1G01695","0.5354498357","12"
"AT1G01700","1.3149369937","41"
"AT1G01710","15.7130461629","711"
"AT1G01720","33.5069127265","772"
"AT1G01725","12.5682960341","102"
"AT1G01730","28.6012589184","451"
"AT1G01740","3.6138105768","110"
"AT1G01750","0.9065743643","20"
"AT1G01760","2.3911589845","60"
"AT1G01770","11.2650756509","478"
"AT1G01780","10.270486679","168"
"AT1G01790","51.3940353581","3480"
"AT1G01800","68.7314235193","1308"
"AT1G01810","0.8182578476","9"
"AT1G01820","61.089819189","1109"
"AT1G01830","10.4582567243","459"
"AT1G01840","1.6962425453","24"
"AT1G01860","8.348654513","208"
"AT1G01870","0","0"
"AT1G01880","1.1642546529","40"
"AT1G01890","0","0"
"AT1G01900","5.4317685573","230"
"AT1G01910","32.4415464547","920"
"AT1G01920","10.3594134588","364"
"AT1G01930","7.8469249315","273"
"AT1G01940","14.9976879943","190"
"AT1G01950","7.8462311525","417"
"AT1G01960","19.168080967","1814"
"AT1G01970","21.7729034785","618"
"AT1G01980","0","0"
"AT1G01990","22.2307297875","450"
"AT1G02000","8.5790728736","263"
"AT1G02010","4.0620182255","182"
"AT1G02020","8.5164753771","342"
"AT1G02030","0.1199098187","4"
"AT1G02040","0.1191719122","2"
"AT1G02050","4.8265986909","109"
"AT1G02060","4.2698250567","160"
