"Name","RPKM","Total gene reads"
"AT1G01010","10.5562585574","318"
"AT1G01020","6.0331254717","226"
"AT1G01030","1.3746779779","46"
"AT1G01040","9.5671583639","1070"
"AT1G01046","0","0"
"AT1G01050","91.1690194947","1567"
"AT1G01060","120.3548755236","6859"
"AT1G01070","10.7969928883","275"
"AT1G01073","0","0"
"AT1G01080","23.0818948502","545"
"AT1G01090","70.7858503411","2024"
"AT1G01100","216.3995503268","2591"
"AT1G01110","0.8611716738","28"
"AT1G01115","0","0"
"AT1G01120","46.2571727485","1543"
"AT1G01130","6.6797396002","101"
"AT1G01140","176.6585150501","5392"
"AT1G01150","0.0483273335","2"
"AT1G01160","23.8737027501","527"
"AT1G01170","84.786412291","780"
"AT1G01180","9.1978093405","190"
"AT1G01183","0","0"
"AT1G01190","0.7434835673","21"
"AT1G01200","0.5217580344","10"
"AT1G01210","8.6873089178","94"
"AT1G01220","5.1417163188","328"
"AT1G01225","1.4996089457","29"
"AT1G01230","21.5538745705","318"
"AT1G01240","16.8647704007","575"
"AT1G01250","0.9488266478","14"
"AT1G01260","6.7742803455","317"
"AT1G01270","0","0"
"AT1G01280","0","0"
"AT1G01290","10.3002208216","228"
"AT1G01300","29.5896433181","947"
"AT1G01305","0","0"
"AT1G01310","0.2330792175","4"
"AT1G01320","98.8565299596","10592"
"AT1G01340","16.573587362","743"
"AT1G01350","16.3875916734","404"
"AT1G01355","0","0"
"AT1G01360","12.7522301459","226"
"AT1G01370","1.7790499645","36"
"AT1G01380","0.6013690021","8"
"AT1G01390","1.6535568135","49"
"AT1G01400","0","0"
"AT1G01410","0","0"
"AT1G01420","1.9850452236","53"
"AT1G01430","12.2388236294","353"
"AT1G01440","14.3285212813","564"
"AT1G01448","0","145"
"AT1G01450","0.1208696367","3"
"AT1G01453","0.2723904252","6"
"AT1G01460","0","0"
"AT1G01470","256.457271368","3294"
"AT1G01471","0","0"
"AT1G01480","16.3393108526","580"
"AT1G01490","61.0725919336","1291"
"AT1G01500","5.7280294546","147"
"AT1G01510","14.5031785509","550"
"AT1G01520","19.2400959129","304"
"AT1G01530","0.1514085076","2"
"AT1G01540","28.7080883168","1007"
"AT1G01550","201.4628588461","5580"
"AT1G01560","147.2845294626","4457"
"AT1G01570","0.7923395806","20"
"AT1G01580","0.9925459329","45"
"AT1G01590","0.026917068","1"
"AT1G01600","5.8693021484","223"
"AT1G01610","24.9680460542","819"
"AT1G01620","114.1203426799","2628"
"AT1G01630","38.04771196","811"
"AT1G01640","1.8327436254","33"
"AT1G01650","39.5429916444","1649"
"AT1G01660","2.0010403819","64"
"AT1G01670","2.9049830746","75"
"AT1G01680","127.8408712348","2248"
"AT1G01690","2.456182457","78"
"AT1G01695","0.4372473031","10"
"AT1G01700","1.2104372873","33"
"AT1G01710","18.8013883894","861"
"AT1G01720","122.5543720258","2875"
"AT1G01725","22.2440154508","187"
"AT1G01730","36.2222392782","583"
"AT1G01740","2.5969070573","80"
"AT1G01750","0.5182148141","9"
"AT1G01760","1.1715694888","29"
"AT1G01770","8.3393908584","364"
"AT1G01780","8.2453945109","138"
"AT1G01790","28.9328742436","2012"
"AT1G01800","68.8547425259","1340"
"AT1G01810","0.3563668161","4"
"AT1G01820","44.5441517841","830"
"AT1G01830","11.3994636904","511"
"AT1G01840","0.9696038736","14"
"AT1G01860","3.7109664446","96"
"AT1G01870","0","0"
"AT1G01880","0.5704368624","20"
"AT1G01890","0","0"
"AT1G01900","3.0084747368","130"
"AT1G01910","26.0796755659","754"
"AT1G01920","4.0078905676","153"
"AT1G01930","8.0310889845","284"
"AT1G01940","9.4366998119","124"
"AT1G01950","9.1407563908","500"
"AT1G01960","14.4939961443","1402"
"AT1G01970","15.190432687","440"
"AT1G01980","0.0311431066","1"
"AT1G01990","10.8921426401","225"
"AT1G02000","6.0094130189","188"
"AT1G02010","3.8647329311","174"
"AT1G02020","7.4913788477","307"
"AT1G02030","0.1468771901","5"
"AT1G02040","0","0"
"AT1G02050","2.9506194534","68"
"AT1G02060","2.4319948068","93"
"AT1G02065","4.2285694073","150"
"AT1G02070","0.2827629083","3"
"AT1G02074","0","0"
"AT1G02080","19.653728818","2625"
"AT1G02090","22.2022004014","652"
"AT1G02100","26.5010258134","701"
"AT1G02110","7.9465256843","328"
"AT1G02120","58.2273860737","2095"
"AT1G02130","38.1389281332","687"
"AT1G02140","99.5724066781","1385"
"AT1G02145","10.3028044351","336"
"AT1G02150","30.1637455769","1012"
"AT1G02160","18.7757230826","187"
"AT1G02170","40.9074961908","967"
"AT1G02180","3.7208888147","61"
"AT1G02190","1.3361295638","51"
"AT1G02205","71.2809985795","3019"
"AT1G02210","0","0"
"AT1G02220","76.2848209484","1858"
"AT1G02230","5.2663828738","101"
"AT1G02250","0.1568308509","4"
"AT1G02260","6.4728900854","247"
"AT1G02270","29.451117711","882"
"AT1G02280","53.4866674179","1109"
"AT1G02290","3.4594387511","103"
"AT1G02300","5.5212895395","124"
"AT1G02305","120.4139916302","2985"
"AT1G02310","17.570358211","441"
"AT1G02320","0","0"
"AT1G02330","24.7519995067","462"
"AT1G02335","14.0955497191","207"
"AT1G02340","0.8632580834","19"
"AT1G02350","1.6150240813","16"
"AT1G02360","11.3746577357","202"
"AT1G02370","3.0764003938","96"
"AT1G02380","2.6408020883","55"
"AT1G02390","39.6695362279","1260"
"AT1G02391","0","0"
"AT1G02400","30.3142673571","762"
"AT1G02405","0.1080258043","1"
"AT1G02410","32.3375612603","673"
"AT1G02420","1.5428075573","40"
"AT1G02430","3.2624411957","49"
"AT1G02440","1.4903036352","22"
"AT1G02450","26.0971174097","248"
"AT1G02460","1.2615977588","40"
"AT1G02470","21.5125673132","340"
"AT1G02475","59.5646610304","985"
"AT1G02480","0","0"
"AT1G02490","0","0"
"AT1G02500","218.3229691652","5885"
"AT1G02510","0","0"
"AT1G02520","0.7500412147","52"
"AT1G02530","0","0"
"AT1G02540","0","0"
"AT1G02550","0","0"
"AT1G02560","164.3359263299","3879"
"AT1G02570","0.1885086055","3"
"AT1G02575","0","0"
"AT1G02580","0.5218339486","21"
"AT1G02590","0","0"
"AT1G02600","0","0"
"AT1G02610","10.0249560436","177"
"AT1G02620","0","0"
"AT1G02630","0.7076395136","20"
"AT1G02640","2.6658209995","123"
"AT1G02650","0.3322739233","9"
"AT1G02660","35.9164889738","1655"
"AT1G02670","0.4471642523","18"
"AT1G02680","13.7459560657","220"
"AT1G02690","3.3160024081","113"
"AT1G02700","0.2210858208","4"
"AT1G02710","2.3476123244","12"
"AT1G02720","3.7229165471","121"
"AT1G02730","6.204055922","420"
"AT1G02740","11.6535191006","284"
"AT1G02750","20.0392188007","357"
"AT1G02760","0","0"
"AT1G02770","0.2804413737","6"
"AT1G02780","436.0553271008","7915"
"AT1G02790","0.0343363081","1"
"AT1G02800","1.6136507615","51"
"AT1G02810","0.9557959935","32"
"AT1G02813","0","0"
"AT1G02816","21.6095504118","383"
"AT1G02820","64.8904858613","703"
"AT1G02830","0","0"
"AT1G02840","64.2154446425","1832"
"AT1G02850","14.7373185533","472"
"AT1G02860","8.6313828207","237"
"AT1G02870","16.1401828338","239"
"AT1G02880","16.9231863453","504"
"AT1G02890","25.3709492886","1848"
"AT1G02900","2.4581001237","25"
"AT1G02910","34.9182831834","972"
"AT1G02920","346.6243252006","5643"
"AT1G02930","329.5896349904","6288"
"AT1G02940","0.4430318978","6"
"AT1G02950","3.0607311218","51"
"AT1G02952","0","1"
"AT1G02960","7.6977117808","242"
"AT1G02965","0","0"
"AT1G02970","0.7054853308","23"
"AT1G02980","0","0"
"AT1G02990","6.4325054199","516"
"AT1G03000","6.7580943169","372"
"AT1G03010","0.4339559704","16"
"AT1G03020","0.3684763681","2"
"AT1G03022","0","0"
"AT1G03030","16.4651404897","398"
"AT1G03040","32.0228993618","831"
"AT1G03050","1.4081526221","49"
"AT1G03055","8.4438490855","161"
"AT1G03060","6.4967429703","1292"
"AT1G03070","0.9435845116","19"
"AT1G03080","18.9765329552","1915"
"AT1G03090","26.6297701524","1228"
"AT1G03100","0.4387637677","20"
"AT1G03103","0","0"
"AT1G03106","0.4881423268","8"
"AT1G03110","7.5347998498","207"
"AT1G03120","0.1036969014","1"
"AT1G03130","481.5401608075","7545"
"AT1G03140","30.6543993891","781"
"AT1G03150","19.6150434853","257"
"AT1G03160","13.2861479035","693"
"AT1G03170","0.4865777681","9"
"AT1G03180","1.367221854","37"
"AT1G03190","3.8829643398","191"
"AT1G03200","12.4210033888","96"
"AT1G03210","27.6382953842","447"
"AT1G03220","134.7705928698","3622"
"AT1G03230","17.2077482589","454"
"AT1G03240","0.8425099198","7"
"AT1G03250","20.8011995855","439"
"AT1G03260","5.2570125079","125"
"AT1G03270","1.7458410319","47"
"AT1G03280","24.3770086673","837"
"AT1G03290","71.123076796","2756"
"AT1G03300","1.046396005","40"
"AT1G03310","8.650216545","455"
"AT1G03320","0.2575999949","3"
"AT1G03330","29.8762770906","385"
"AT1G03340","3.5087580194","80"
"AT1G03350","22.6291913486","698"
"AT1G03360","9.6834365159","217"
"AT1G03365","7.8890452589","395"
