"Name","RPKM","Total gene reads"
"AT1G01010","11.6352906109","365"
"AT1G01020","6.3087483269","226"
"AT1G01030","1.0079516845","36"
"AT1G01040","10.7459511612","1249"
"AT1G01046","0","0"
"AT1G01050","74.9847007377","1336"
"AT1G01060","0.8821246918","52"
"AT1G01070","7.4914146969","199"
"AT1G01073","0","0"
"AT1G01080","35.149455829","869"
"AT1G01090","60.0878683431","1784"
"AT1G01100","348.963561312","4329"
"AT1G01110","1.6004937838","55"
"AT1G01115","0","0"
"AT1G01120","34.0319611165","1178"
"AT1G01130","5.1203945571","69"
"AT1G01140","109.5299061679","3462"
"AT1G01150","0.232858108","6"
"AT1G01160","26.2588424324","595"
"AT1G01170","71.6926255952","682"
"AT1G01180","8.2105452082","176"
"AT1G01183","0","0"
"AT1G01190","2.9341280111","86"
"AT1G01200","1.1732064922","24"
"AT1G01210","10.2419765898","116"
"AT1G01220","8.7448899925","570"
"AT1G01225","3.2113972832","61"
"AT1G01230","32.1123645603","490"
"AT1G01240","16.8738990428","597"
"AT1G01250","0.3265557753","5"
"AT1G01260","8.2786301961","402"
"AT1G01270","0","0"
"AT1G01280","0","0"
"AT1G01290","7.2880222914","172"
"AT1G01300","49.2608132475","1636"
"AT1G01305","0","0"
"AT1G01310","0.1684586599","3"
"AT1G01320","75.7626588731","8412"
"AT1G01340","14.8461143964","697"
"AT1G01350","21.5918678646","552"
"AT1G01355","0","0"
"AT1G01360","9.6556011649","177"
"AT1G01370","4.2583926508","78"
"AT1G01380","0.6761084362","7"
"AT1G01390","0.3577208493","11"
"AT1G01400","0","0"
"AT1G01410","0","0"
"AT1G01420","2.273859425","63"
"AT1G01430","11.0925547653","332"
"AT1G01440","13.2645456222","540"
"AT1G01448","0","223"
"AT1G01450","0","0"
"AT1G01453","0.48124009","11"
"AT1G01460","0.0377833128","1"
"AT1G01470","466.5103038731","6206"
"AT1G01471","0","0"
"AT1G01480","16.9059207432","626"
"AT1G01490","41.2399683937","894"
"AT1G01500","6.1958426366","168"
"AT1G01510","16.6493439196","656"
"AT1G01520","0.1269939126","2"
"AT1G01530","0.4377236988","6"
"AT1G01540","41.1805056765","1497"
"AT1G01550","181.6513106195","5239"
"AT1G01560","172.6689442759","5408"
"AT1G01570","2.0997740877","57"
"AT1G01580","0.5693375909","26"
"AT1G01590","0.0259391822","1"
"AT1G01600","4.2610773014","168"
"AT1G01610","18.5334478178","629"
"AT1G01620","112.8265183377","2698"
"AT1G01630","33.5187923004","741"
"AT1G01640","3.9738618293","73"
"AT1G01650","45.7919455326","2030"
"AT1G01660","2.2175949312","71"
"AT1G01670","2.8383274476","74"
"AT1G01680","92.2125829569","1680"
"AT1G01690","4.7014767653","151"
"AT1G01695","1.0955419559","27"
"AT1G01700","0.8278121712","25"
"AT1G01710","15.4545272548","741"
"AT1G01720","104.5534320663","2549"
"AT1G01725","15.3805607558","142"
"AT1G01730","35.9311831559","607"
"AT1G01740","2.9250730586","97"
"AT1G01750","0.4280471021","17"
"AT1G01760","1.5889726141","43"
"AT1G01770","10.2661835955","458"
"AT1G01780","10.867108485","187"
"AT1G01790","24.7242660398","1780"
"AT1G01800","66.3033135958","1335"
"AT1G01810","0.5151302371","6"
"AT1G01820","57.0076643202","1102"
"AT1G01830","10.0716948565","466"
"AT1G01840","1.0011198952","15"
"AT1G01860","4.5920998806","128"
"AT1G01870","0","0"
"AT1G01880","0.9894836319","36"
"AT1G01890","0","0"
"AT1G01900","3.5459178335","160"
"AT1G01910","33.6550179606","1008"
"AT1G01920","8.7958620347","334"
"AT1G01930","8.9743211973","328"
"AT1G01940","13.7153425637","185"
"AT1G01950","11.4458973913","656"
"AT1G01960","23.7516287236","2381"
"AT1G01970","11.2783532543","339"
"AT1G01980","0","0"
"AT1G01990","16.0478838161","344"
"AT1G02000","6.8076152871","221"
"AT1G02010","4.1926575642","196"
"AT1G02020","6.066966792","258"
"AT1G02030","0.1415412029","5"
"AT1G02040","0.2250722882","4"
"AT1G02050","5.226883599","126"
"AT1G02060","3.3264588303","132"
"AT1G02065","2.0511479407","76"
"AT1G02070","0.6358105824","7"
"AT1G02074","0","0"
"AT1G02080","23.645642136","3275"
"AT1G02090","24.0080499126","731"
"AT1G02100","31.5787399516","863"
"AT1G02110","9.7915928761","420"
"AT1G02120","62.4763730157","2326"
"AT1G02130","30.036734547","561"
"AT1G02140","117.4802081509","1697"
"AT1G02145","10.5649506523","360"
"AT1G02150","34.8700018269","1214"
"AT1G02160","27.1887919605","281"
"AT1G02170","47.1824209752","1157"
"AT1G02180","3.8247578391","68"
"AT1G02190","0.5301835137","21"
"AT1G02205","28.9673539431","1272"
"AT1G02210","0","0"
"AT1G02220","38.8449317843","985"
"AT1G02230","4.0092953285","84"
"AT1G02250","0.2015110019","5"
