"Name","RPKM","Total gene reads"
"AT1G01010","9.9667725296","292"
"AT1G01020","7.481873784","275"
"AT1G01030","1.7112844067","56"
"AT1G01040","10.5928672861","1163"
"AT1G01046","0","0"
"AT1G01050","93.4648524834","1578"
"AT1G01060","104.2239897598","5815"
"AT1G01070","12.3655050834","312"
"AT1G01073","0","0"
"AT1G01080","31.0886878252","727"
"AT1G01090","76.1042802526","2132"
"AT1G01100","251.2042554319","2947"
"AT1G01110","1.9184591773","63"
"AT1G01115","0","0"
"AT1G01120","53.98381061","1761"
"AT1G01130","3.2599967947","42"
"AT1G01140","104.6287363609","3119"
"AT1G01150","0.296507106","7"
"AT1G01160","23.7018698334","508"
"AT1G01170","88.0560854054","797"
"AT1G01180","10.4944017323","212"
"AT1G01183","0","0"
"AT1G01190","1.4843180147","42"
"AT1G01200","0.7706567925","14"
"AT1G01210","14.7425643546","156"
"AT1G01220","6.5598139677","405"
"AT1G01225","1.5902423389","30"
"AT1G01230","29.1071142386","421"
"AT1G01240","12.2966685604","410"
"AT1G01250","1.1781451001","17"
"AT1G01260","9.3745885949","429"
"AT1G01270","0","0"
"AT1G01280","0.0363384697","1"
"AT1G01290","12.9523100035","282"
"AT1G01300","40.0662143306","1254"
"AT1G01305","0","0"
"AT1G01310","0.1191693521","2"
"AT1G01320","94.9871577999","9959"
"AT1G01340","15.1334029848","660"
"AT1G01350","17.9632476444","432"
"AT1G01355","0.3389474729","4"
"AT1G01360","17.4642685432","304"
"AT1G01370","3.5797055818","67"
"AT1G01380","1.3323679053","13"
"AT1G01390","2.4845432427","72"
"AT1G01400","0.1016842419","2"
"AT1G01410","0","0"
"AT1G01420","4.5575613084","119"
"AT1G01430","16.0248667915","454"
"AT1G01440","12.8695120137","496"
"AT1G01448","0","151"
"AT1G01450","0.0411990294","1"
"AT1G01453","0.4642282973","10"
"AT1G01460","0","0"
"AT1G01470","156.8661259792","1980"
"AT1G01471","0","0"
"AT1G01480","7.3866996859","259"
"AT1G01490","72.8674674946","1541"
"AT1G01500","9.1644575974","230"
"AT1G01510","17.1265990044","635"
"AT1G01520","13.7450261682","220"
"AT1G01530","0.3096501515","4"
"AT1G01540","32.86806364","1129"
"AT1G01550","167.8840097714","4583"
"AT1G01560","46.6735130072","1386"
"AT1G01570","0.4456203989","11"
"AT1G01580","1.0149429622","42"
"AT1G01590","0.1376222895","6"
"AT1G01600","6.3247081332","235"
"AT1G01610","26.691976527","859"
"AT1G01620","159.2435087856","3596"
"AT1G01630","35.3737331811","736"
"AT1G01640","4.3924216658","76"
"AT1G01650","31.0475885212","1231"
"AT1G01660","0.8525809677","26"
"AT1G01670","2.5167030029","61"
"AT1G01680","67.7456772849","1156"
"AT1G01690","2.7180402185","85"
"AT1G01695","0.312979723","7"
"AT1G01700","1.0780412681","40"
"AT1G01710","17.9174611726","802"
"AT1G01720","47.6418875912","1103"
"AT1G01725","22.7459568222","188"
"AT1G01730","28.7872558404","458"
"AT1G01740","3.3797360135","100"
"AT1G01750","0.7570120738","15"
"AT1G01760","1.597341635","38"
"AT1G01770","6.3833552818","275"
"AT1G01780","7.1295380989","116"
"AT1G01790","29.1819012742","1986"
"AT1G01800","63.0919233952","1204"
"AT1G01810","0.364408316","4"
"AT1G01820","54.7702569452","1005"
"AT1G01830","10.7795577712","475"
"AT1G01840","0.7790225222","11"
"AT1G01860","6.2957610057","168"
"AT1G01870","0","0"
"AT1G01880","0.4958125672","17"
"AT1G01890","0","0"
"AT1G01900","4.4488922576","189"
"AT1G01910","30.4423029652","862"
"AT1G01920","5.0855184178","194"
"AT1G01930","8.5326507973","293"
"AT1G01940","12.7343624794","163"
"AT1G01950","8.1857809827","432"
"AT1G01960","16.1135289379","1524"
"AT1G01970","19.8401433622","564"
"AT1G01980","0","0"
"AT1G01990","11.9299566862","241"
"AT1G02000","6.5699381942","201"
"AT1G02010","5.3481364373","230"
"AT1G02020","6.4127975648","257"
"AT1G02030","0.1802298095","6"
"AT1G02040","0.059706901","1"
"AT1G02050","3.5496480779","80"
"AT1G02060","1.7381372765","65"
"AT1G02065","3.9177073003","135"
"AT1G02070","0.7710493838","8"
"AT1G02074","0","0"
"AT1G02080","20.4588466192","2665"
"AT1G02090","23.4751771255","672"
"AT1G02100","25.0706572815","653"
"AT1G02110","6.2893505269","258"
"AT1G02120","60.8683726327","2180"
"AT1G02130","35.2364282066","619"
"AT1G02140","107.8260996253","1475"
"AT1G02145","10.63659047","347"
"AT1G02150","31.0882267261","1023"
"AT1G02160","25.2569668526","249"
"AT1G02170","33.1158784751","768"
"AT1G02180","3.1072954198","51"
"AT1G02190","1.7413367929","66"
"AT1G02205","100.0739579843","4154"
"AT1G02210","0","0"
"AT1G02220","54.0407028584","1292"
"AT1G02230","3.3926886162","67"
"AT1G02250","0.267282959","5"
"AT1G02260","8.3550710023","312"
"AT1G02270","28.5585911131","825"
"AT1G02280","56.1811932408","1141"
"AT1G02290","4.4648080838","130"
