"Name","RPKM","Total gene reads"
"AT1G01010","9.2458710195","259"
"AT1G01020","7.0518124704","237"
"AT1G01030","1.5301478875","48"
"AT1G01040","11.1667582229","1160"
"AT1G01046","0","0"
"AT1G01050","83.2517641922","1343"
"AT1G01060","1.0515626716","56"
"AT1G01070","6.9522796904","166"
"AT1G01073","0","0"
"AT1G01080","34.0847097266","768"
"AT1G01090","63.6390928112","1707"
"AT1G01100","303.5492843873","3405"
"AT1G01110","2.5918378165","79"
"AT1G01115","0","0"
"AT1G01120","36.5197914545","1142"
"AT1G01130","5.0201601941","81"
"AT1G01140","112.3836814249","3224"
"AT1G01150","0.1031031312","4"
"AT1G01160","26.8430395395","552"
"AT1G01170","71.8120315899","621"
"AT1G01180","9.3467021389","181"
"AT1G01183","0","0"
"AT1G01190","2.5303226785","67"
"AT1G01200","1.1749767224","22"
"AT1G01210","9.2668960433","94"
"AT1G01220","8.9922452606","528"
"AT1G01225","2.6068495107","44"
"AT1G01230","32.5535744598","449"
"AT1G01240","18.1463635675","580"
"AT1G01250","1.0121290714","14"
"AT1G01260","7.4769895364","328"
"AT1G01270","0","0"
"AT1G01280","0.6823342054","18"
"AT1G01290","8.7602369505","182"
"AT1G01300","49.2621328493","1478"
"AT1G01305","0","0"
"AT1G01310","0.1864720909","3"
"AT1G01320","71.7764176145","7208"
"AT1G01340","16.361755166","692"
"AT1G01350","21.8619879421","505"
"AT1G01355","0","0"
"AT1G01360","12.5099153224","206"
"AT1G01370","5.3871386058","89"
"AT1G01380","1.0691504275","10"
"AT1G01390","0.4679672055","13"
"AT1G01400","0.0530373313","1"
"AT1G01410","0","0"
"AT1G01420","2.4770527274","62"
"AT1G01430","11.7978991635","320"
"AT1G01440","12.304135492","451"
"AT1G01448","0","211"
"AT1G01450","0.0859557598","2"
"AT1G01453","0.4358450547","9"
"AT1G01460","0","0"
"AT1G01470","364.0323378108","4405"
"AT1G01471","0","0"
"AT1G01480","5.9321160076","197"
"AT1G01490","51.3690165688","1013"
"AT1G01500","4.4891145672","108"
"AT1G01510","18.4296727432","657"
"AT1G01520","0.2811469643","4"
"AT1G01530","0.1615099582","2"
"AT1G01540","39.6608043361","1303"
"AT1G01550","180.2745353079","4684"
"AT1G01560","170.2152504982","4839"
"AT1G01570","1.5213631136","36"
"AT1G01580","0.5041738836","20"
"AT1G01590","0.2009901702","7"
"AT1G01600","6.4854872536","233"
"AT1G01610","19.7299729542","608"
"AT1G01620","132.2267704282","2852"
"AT1G01630","34.0236904798","677"
"AT1G01640","6.2927139449","104"
"AT1G01650","34.3576787479","1387"
"AT1G01660","2.3479971428","72"
"AT1G01670","3.3570262609","78"
"AT1G01680","104.0237940943","1721"
"AT1G01690","5.455447477","159"
"AT1G01695","0.6996283904","15"
"AT1G01700","0.9996336508","31"
"AT1G01710","15.6693176462","685"
"AT1G01720","56.3900482635","1246"
"AT1G01725","16.4889901698","133"
"AT1G01730","37.571120914","566"
"AT1G01740","2.4823544761","71"
"AT1G01750","0.3948487925","11"
"AT1G01760","1.8051692279","43"
"AT1G01770","10.8240390954","432"
"AT1G01780","10.5416638107","163"
"AT1G01790","29.4120755331","1915"
"AT1G01800","65.7607358409","1199"
"AT1G01810","0.5702135613","6"
"AT1G01820","58.0042672023","1018"
"AT1G01830","13.6529068235","571"
"AT1G01840","1.1820485505","16"
"AT1G01860","4.2284503427","100"
"AT1G01870","0","0"
"AT1G01880","1.0040158123","33"
"AT1G01890","0","0"
"AT1G01900","4.764412458","193"
"AT1G01910","33.9109666857","919"
"AT1G01920","7.3647213006","252"
"AT1G01930","9.0529603785","299"
"AT1G01940","12.4590888408","151"
"AT1G01950","8.9165327611","456"
"AT1G01960","21.9923951091","1994"
"AT1G01970","12.8894545175","350"
"AT1G01980","0","0"
"AT1G01990","15.4401322626","299"
"AT1G02000","7.0240961945","206"
"AT1G02010","3.4313644128","144"
"AT1G02020","6.7157128269","258"
"AT1G02030","0.1253410615","4"
"AT1G02040","0.1245697319","2"
"AT1G02050","7.4058224736","160"
"AT1G02060","3.0405714869","109"
"AT1G02065","3.0575783513","105"
"AT1G02070","0.6032557379","6"
"AT1G02074","0","0"
"AT1G02080","21.3261454615","2670"
"AT1G02090","22.731723448","624"
"AT1G02100","27.6766165586","683"
"AT1G02110","9.7626278624","375"
"AT1G02120","69.6800105383","2348"
"AT1G02130","32.1184935487","541"
"AT1G02140","116.4270766204","1520"
"AT1G02145","12.2934934774","366"
"AT1G02150","36.4684412008","1147"
"AT1G02160","26.3474869379","248"
"AT1G02170","47.2730943526","1053"
"AT1G02180","5.2921781511","80"
"AT1G02190","2.4033989914","87"
"AT1G02205","43.438616417","1722"
"AT1G02210","0","0"
"AT1G02220","25.8081692263","589"
"AT1G02230","2.7526914615","49"
"AT1G02250","0","0"
"AT1G02260","14.9131040249","535"
"AT1G02270","36.805812189","1038"
"AT1G02280","51.9858458306","1006"
"AT1G02290","4.0843438633","114"
"AT1G02300","10.3440086025","228"
"AT1G02305","88.0487550382","2042"
"AT1G02310","6.378597601","151"
"AT1G02320","0","0"
"AT1G02330","23.3038413792","407"
"AT1G02335","14.5980154528","200"
"AT1G02340","0.5331246505","11"
"AT1G02350","0.8613864437","16"
"AT1G02360","17.8399011397","297"
"AT1G02370","2.5562304192","75"
"AT1G02380","2.7086415827","55"
"AT1G02390","20.0391383985","603"
"AT1G02391","0","0"
"AT1G02400","28.9352508238","725"
