"Name","RPKM","Total gene reads"
"AT1G01010","3.8250858362","104"
"AT1G01020","6.1982214012","212"
"AT1G01030","2.8524379085","87"
"AT1G01040","6.4602816913","644"
"AT1G01046","0","0"
"AT1G01050","93.468744524","1435"
"AT1G01060","63.1967689162","3207"
"AT1G01070","6.7014354627","153"
"AT1G01073","0","0"
"AT1G01080","39.6528722686","838"
"AT1G01090","107.306591727","2739"
"AT1G01100","256.8424745776","2742"
"AT1G01110","1.5887064793","47"
"AT1G01115","0","0"
"AT1G01120","92.4080142608","2745"
"AT1G01130","6.9894796185","72"
"AT1G01140","71.8302429828","1937"
"AT1G01150","0.1628051797","3"
"AT1G01160","20.4547841134","395"
"AT1G01170","85.5271985053","700"
"AT1G01180","5.2186258974","96"
"AT1G01183","0","0"
"AT1G01190","1.351714979","34"
"AT1G01200","2.734198599","48"
"AT1G01210","17.7462931794","174"
"AT1G01220","8.2896660807","464"
"AT1G01225","2.1829130278","37"
"AT1G01230","24.0498994555","319"
"AT1G01240","5.2697098191","160"
"AT1G01250","5.3273472702","70"
"AT1G01260","7.0551355741","294"
"AT1G01270","0","0"
"AT1G01280","0.119715669","3"
"AT1G01290","10.263935572","202"
"AT1G01300","49.612748892","1414"
"AT1G01305","0","0"
"AT1G01310","0.0654331292","1"
"AT1G01320","79.3134129536","7557"
"AT1G01340","2.900094372","117"
"AT1G01350","16.7126494363","367"
"AT1G01355","0.2791623024","3"
"AT1G01360","10.4842194278","166"
"AT1G01370","2.964410981","50"
"AT1G01380","1.0129463119","10"
"AT1G01390","4.8126124717","127"
"AT1G01400","0.0558324605","1"
"AT1G01410","0","0"
"AT1G01420","7.9489629006","189"
"AT1G01430","27.3310434862","709"
"AT1G01440","7.2246600531","256"
"AT1G01448","0","138"
"AT1G01450","0","0"
"AT1G01453","0.1529381991","3"
"AT1G01460","0","0"
"AT1G01470","131.8133737233","1505"
"AT1G01471","0","0"
"AT1G01480","1.5772810649","53"
"AT1G01490","53.7478255414","1046"
"AT1G01500","11.9455096901","275"
"AT1G01510","15.5444824293","529"
"AT1G01520","16.8699330224","238"
"AT1G01530","0","0"
"AT1G01540","37.1548322436","1164"
"AT1G01550","94.2725185959","2329"
"AT1G01560","2.8038669843","75"
"AT1G01570","0.8897448468","21"
"AT1G01580","1.1411005361","43"
"AT1G01590","0.3324869218","12"
"AT1G01600","4.1081901279","139"
"AT1G01610","39.6106639704","1156"
"AT1G01620","190.9047563074","3918"
"AT1G01630","39.9617471044","761"
"AT1G01640","2.6368761136","41"
"AT1G01650","22.6340267805","814"
"AT1G01660","0.5243083429","15"
"AT1G01670","1.6763587441","39"
"AT1G01680","2.5173786064","38"
"AT1G01690","2.6447823327","72"
"AT1G01695","0.4418997736","9"
"AT1G01700","0.964622551","24"
"AT1G01710","14.2119601334","588"
"AT1G01720","23.1229541091","486"
"AT1G01725","11.9953514694","93"
"AT1G01730","21.2859721698","305"
"AT1G01740","5.1506106309","137"
"AT1G01750","0.6650524551","11"
"AT1G01760","1.6566750657","35"
"AT1G01770","4.8988138319","191"
"AT1G01780","5.2422458761","78"
"AT1G01790","46.862040376","2886"
"AT1G01800","46.1121206341","799"
"AT1G01810","0.9003967217","9"
"AT1G01820","36.5390955901","610"
"AT1G01830","8.8211745442","348"
"AT1G01840","0.933257916","12"
"AT1G01860","9.6602563833","226"
"AT1G01870","0","0"
"AT1G01880","0.7366472177","23"
"AT1G01890","0","0"
"AT1G01900","5.0414896118","194"
"AT1G01910","29.1684481731","750"
"AT1G01920","6.0117444016","198"
"AT1G01930","7.675217678","240"
"AT1G01940","9.8150582859","113"
"AT1G01950","8.257562479","398"
"AT1G01960","13.2975241417","1144"
"AT1G01970","29.3472544589","757"
"AT1G01980","0","0"
"AT1G01990","15.3297135735","282"
"AT1G02000","9.3684736948","261"
"AT1G02010","4.9895154921","195"
"AT1G02020","7.2614506298","265"
"AT1G02030","0.1319466816","4"
"AT1G02040","0","0"
"AT1G02050","2.7286412848","56"
"AT1G02060","1.7031849794","58"
"AT1G02065","1.7846347785","57"
"AT1G02070","0.423365346","4"
