"Name","RPKM","Total gene reads"
"AT1G01010","5.0933637927","139"
"AT1G01020","7.7118655597","249"
"AT1G01030","2.3060017463","70"
"AT1G01040","7.2750620444","737"
"AT1G01046","0","0"
"AT1G01050","97.0277574632","1519"
"AT1G01060","0.5433436397","29"
"AT1G01070","6.708420351","157"
"AT1G01073","0","0"
"AT1G01080","58.7211857039","1270"
"AT1G01090","90.296399312","2343"
"AT1G01100","378.940177555","4107"
"AT1G01110","2.746219028","81"
"AT1G01115","0","0"
"AT1G01120","54.8579652615","1660"
"AT1G01130","11.714488871","119"
"AT1G01140","75.62359907","2113"
"AT1G01150","0","1"
"AT1G01160","28.8886386407","560"
"AT1G01170","105.040458462","878"
"AT1G01180","9.7656316663","183"
"AT1G01183","0","0"
"AT1G01190","3.2783084527","84"
"AT1G01200","2.3645407781","42"
"AT1G01210","14.4665244059","143"
"AT1G01220","11.5846648154","656"
"AT1G01225","2.8163753732","48"
"AT1G01230","29.5678204677","393"
"AT1G01240","11.7364745534","363"
"AT1G01250","2.316002264","31"
"AT1G01260","5.8892821303","250"
"AT1G01270","0","0"
"AT1G01280","0","0"
"AT1G01290","8.9505569002","184"
"AT1G01300","52.0786826867","1512"
"AT1G01305","0","0"
"AT1G01310","0","0"
"AT1G01320","72.0885799353","7002"
"AT1G01340","4.7283756855","195"
"AT1G01350","20.8888462266","468"
"AT1G01355","0.2740444995","3"
"AT1G01360","10.6685523647","173"
"AT1G01370","4.6181470744","77"
"AT1G01380","1.65729376","15"
"AT1G01390","1.7111942842","46"
"AT1G01400","0","0"
"AT1G01410","0","0"
"AT1G01420","3.8396879641","93"
"AT1G01430","21.058867783","554"
"AT1G01440","10.7937256755","387"
"AT1G01448","0","268"
"AT1G01450","0.0444134398","1"
"AT1G01453","0","0"
"AT1G01460","0.0432205168","1"
"AT1G01470","256.635700139","2998"
"AT1G01471","0","0"
"AT1G01480","5.3402800475","179"
"AT1G01490","50.5058381486","967"
"AT1G01500","7.259271851","169"
"AT1G01510","22.3359619591","769"
"AT1G01520","0.1452689592","2"
"AT1G01530","0.1669047617","3"
"AT1G01540","51.0505359656","1621"
"AT1G01550","114.804781889","2914"
"AT1G01560","21.8729178168","604"
"AT1G01570","1.5285084644","36"
"AT1G01580","0.2865579469","11"
"AT1G01590","0.5637671949","20"
"AT1G01600","6.9632388772","241"
"AT1G01610","24.8184502905","739"
"AT1G01620","174.3067581438","3638"
"AT1G01630","34.5341629525","669"
"AT1G01640","3.4724250211","55"
"AT1G01650","26.7420522973","1007"
"AT1G01660","1.286740869","38"
"AT1G01670","3.06887111","71"
"AT1G01680","5.1375534094","86"
"AT1G01690","4.9329629554","141"
"AT1G01695","0.96399678","21"
"AT1G01700","1.6356208741","45"
"AT1G01710","17.1496651882","717"
"AT1G01720","43.20448973","922"
"AT1G01725","14.2690675699","109"
"AT1G01730","30.2057267985","446"
"AT1G01740","3.3460054113","92"
"AT1G01750","0.4080376488","13"
"AT1G01760","2.1046283359","49"
"AT1G01770","11.3715704838","438"
"AT1G01780","9.0892884896","138"
"AT1G01790","48.2281000586","3025"
"AT1G01800","66.5284204033","1171"
"AT1G01810","0.8838900054","9"
"AT1G01820","54.0733205282","927"
"AT1G01830","10.1275850455","413"
"AT1G01840","1.5269146078","20"
"AT1G01860","9.5761297914","226"
"AT1G01870","0","0"
"AT1G01880","1.1633161543","38"
"AT1G01890","0","0"
"AT1G01900","6.3521509775","250"
"AT1G01910","34.199245033","895"
"AT1G01920","9.5778975041","312"
"AT1G01930","9.9204382993","319"
"AT1G01940","15.9448472842","187"
"AT1G01950","6.7106848445","342"
"AT1G01960","19.1295029822","1678"
"AT1G01970","18.9143884894","497"
"AT1G01980","0.0343305199","1"
"AT1G01990","16.6496015295","312"
"AT1G02000","7.9634469545","226"
"AT1G02010","4.4388524903","178"
"AT1G02020","7.3166239963","272"
"AT1G02030","0.0971458055","3"
"AT1G02040","0","0"
"AT1G02050","4.6875812937","98"
"AT1G02060","3.7763256499","131"
"AT1G02065","4.19208849","134"
"AT1G02070","0.9351087971","9"
"AT1G02074","0","0"
"AT1G02080","15.0047513083","1819"
"AT1G02090","19.4812767004","516"
"AT1G02100","24.1840928783","575"
"AT1G02110","11.2277713127","421"
"AT1G02120","48.2275282711","1583"
"AT1G02130","32.2078783147","525"
"AT1G02140","122.3146130982","1539"
"AT1G02145","12.3401093614","367"
"AT1G02150","49.9749557951","1523"
"AT1G02160","31.8761601932","289"
"AT1G02170","33.0691302604","709"
"AT1G02180","7.8616142633","118"
"AT1G02190","0.8952792921","34"
"AT1G02205","40.0096949541","1535"
"AT1G02210","0","0"
"AT1G02220","5.75149121","126"
"AT1G02230","0.406376811","8"
"AT1G02250","0","0"
"AT1G02260","12.369929418","429"
"AT1G02270","16.099156438","431"
"AT1G02280","77.990870328","1471"
"AT1G02290","4.7020862409","127"
"AT1G02300","11.2521286746","229"
"AT1G02305","71.4983462543","1607"
"AT1G02310","8.0364042358","197"
"AT1G02320","0","0"
"AT1G02330","26.0989827669","440"
"AT1G02335","16.8958974101","224"
"AT1G02340","0.8514407314","17"
"AT1G02350","1.0385185169","14"
"AT1G02360","8.0074664284","129"
"AT1G02370","4.2123040187","118"
"AT1G02380","2.0713461589","37"
"AT1G02390","9.5308117161","283"
"AT1G02391","0","0"
"AT1G02400","11.9981962191","291"
"AT1G02405","0.7144917311","6"
"AT1G02410","19.5312633327","370"
"AT1G02420","2.380993673","56"
"AT1G02430","0.8990858221","20"
"AT1G02440","0.7666550308","11"
"AT1G02450","10.904033079","94"
"AT1G02460","1.2516470104","37"
"AT1G02470","6.3623787482","94"
"AT1G02475","63.9721337893","961"
"AT1G02480","0","0"
"AT1G02490","0.5363776956","1"
"AT1G02500","227.5270098725","5562"
"AT1G02510","0","0"
"AT1G02520","0.4215088995","28"
"AT1G02530","0.2354534406","15"
"AT1G02540","0","0"
"AT1G02550","0","0"
"AT1G02560","239.1848538661","5121"
"AT1G02570","0","0"
"AT1G02575","0","0"
"AT1G02580","0.0547849763","2"
"AT1G02590","0","0"
"AT1G02600","0","0"
"AT1G02610","3.0808802108","50"
"AT1G02620","0.365392666","4"
"AT1G02630","0.5460451618","14"
"AT1G02640","13.7218450329","567"
"AT1G02650","0.5697708595","14"
"AT1G02660","18.4011060334","772"
"AT1G02670","0.2156570116","12"
"AT1G02680","14.6684811033","213"
"AT1G02690","8.5723662118","267"
"AT1G02700","0.4264983812","7"
"AT1G02710","3.6661691975","17"
"AT1G02720","7.5923020515","226"
"AT1G02730","16.7067595564","1026"
"AT1G02740","6.9940560924","150"
"AT1G02750","13.6180933126","219"
"AT1G02760","0","0"
"AT1G02770","0.5152396583","10"
"AT1G02780","665.5443119493","10945"
"AT1G02790","0.1514021481","4"
"AT1G02800","2.0634121554","58"
"AT1G02810","4.3132533787","132"
"AT1G02813","0","0"
"AT1G02816","16.7308376733","269"
"AT1G02820","2.0408517197","20"
"AT1G02830","0","0"
"AT1G02840","64.4097411935","1661"
"AT1G02850","16.2456435187","478"
"AT1G02860","11.2936321515","278"
"AT1G02870","23.5987097872","322"
"AT1G02880","12.909418473","352"
"AT1G02890","22.9999690719","1519"
"AT1G02900","9.1045250293","84"
"AT1G02910","51.269026438","1282"
"AT1G02920","74.3576050346","1099"
"AT1G02930","262.6096241245","4550"
"AT1G02940","4.639562713","57"
"AT1G02950","8.4349718253","125"
"AT1G02952","0","1"
"AT1G02960","11.658410441","334"
"AT1G02965","0","0"
"AT1G02970","1.8258805391","55"
"AT1G02980","0.0809061328","3"
"AT1G02990","5.2084524267","379"
"AT1G03000","10.4661130409","521"
"AT1G03010","1.763990106","60"
"AT1G03020","4.061889345","20"
"AT1G03022","0","0"
"AT1G03030","13.8110277715","307"
"AT1G03040","36.2054944503","864"
"AT1G03050","0.0633580923","2"
"AT1G03055","3.2197672303","56"
"AT1G03060","5.3018543713","956"
"AT1G03070","0.5200789258","9"
"AT1G03080","16.5314859946","1512"
"AT1G03090","11.9925490443","517"
"AT1G03100","1.6686617095","69"
"AT1G03103","0","0"
"AT1G03106","0.2017883935","3"
"AT1G03110","8.225715491","206"
"AT1G03120","0.4572400028","4"
"AT1G03130","315.3991047932","4483"
"AT1G03140","38.0103329123","874"
"AT1G03150","15.4567736738","186"
"AT1G03160","21.0322646187","1000"
"AT1G03170","1.3707429998","23"
"AT1G03180","2.2188646365","55"
"AT1G03190","4.4389077281","198"
"AT1G03200","7.1313852705","50"
"AT1G03210","26.895510163","394"
"AT1G03220","126.6198429441","3087"
"AT1G03230","20.0134588497","479"
"AT1G03240","0.7960616116","6"
"AT1G03250","19.1521818469","372"
"AT1G03260","10.6478220916","228"
"AT1G03270","2.7194349165","68"
"AT1G03280","22.2172099558","686"
"AT1G03290","29.1184146797","1031"
"AT1G03300","2.462860924","81"
"AT1G03310","11.2132888396","532"
"AT1G03320","0.4732744373","5"
"AT1G03330","40.2815216492","470"
"AT1G03340","1.2087093679","25"
"AT1G03350","22.5507722836","631"
"AT1G03360","7.8445237976","158"
"AT1G03365","5.8861589003","274"
"AT1G03370","17.7828631802","1083"
"AT1G03380","10.6107063585","636"
"AT1G03390","0.0905572733","2"
"AT1G03400","31.0226798725","614"
"AT1G03410","14.150905674","603"
"AT1G03430","16.7758011358","295"
"AT1G03440","8.3198068831","221"
"AT1G03445","0.0460258089","3"
"AT1G03457","5.1097356846","144"
"AT1G03470","5.334527811","107"
"AT1G03475","165.7751576003","3828"
"AT1G03490","0","0"
"AT1G03495","15.8323265686","442"
"AT1G03502","0","3"
"AT1G03506","0","2"
"AT1G03510","1.7026873359","35"
"AT1G03515","0","0"
"AT1G03520","6.6302609001","217"
"AT1G03530","4.1982226552","174"
"AT1G03540","1.0630830064","31"
"AT1G03550","5.5373109159","134"
"AT1G03545","0","0"
"AT1G03560","3.3952351337","122"
"AT1G03570","0","0"
"AT1G03590","13.2530546834","435"
"AT1G03600","266.9551790799","3318"
"AT1G03610","16.8973384248","458"
"AT1G03620","2.9188925758","44"
"AT1G03630","108.8554292252","2420"
"AT1G03640","0","0"
"AT1G03650","7.7554938932","98"
"AT1G03660","0.7747677825","4"
"AT1G03670","0.0678078772","2"
"AT1G03680","337.7110596627","4900"
"AT1G03687","9.2811504778","214"
"AT1G03700","0.2941696424","3"
"AT1G03710","2.4474914248","39"
"AT1G03720","0","0"
"AT1G03730","21.5650953835","367"
"AT1G03740","15.4511046338","764"
"AT1G03743","0","0"
"AT1G03746","0","1"
"AT1G03750","3.0641300558","132"
"AT1G03760","9.4906250286","209"
"AT1G03770","3.3666672356","93"
"AT1G03780","6.3996947526","295"
"AT1G03790","3.7502109954","94"
"AT1G03800","0.5102129299","6"
"AT1G03810","0","0"
"AT1G03820","23.8619468074","327"
"AT1G03830","4.1404965985","217"
"AT1G03840","0.5583290959","15"
"AT1G03850","2.2391880136","39"
"AT1G03860","51.498400503","1291"
"AT1G03870","39.2301982378","647"
"AT1G03880","0","0"
"AT1G03890","0","0"
"AT1G03900","80.7763318586","1551"
"AT1G03905","2.6950511206","60"
"AT1G03910","25.7030625646","1011"
"AT1G03920","0.7198964483","24"
"AT1G03930","20.9634665043","794"
"AT1G03935","0","0"
"AT1G03940","12.67550776","306"
"AT1G03950","19.1024331996","308"
"AT1G03960","4.2460894015","172"
"AT1G03970","29.6834593873","543"
"AT1G03980","0.5102129299","19"
"AT1G03982","0","0"
"AT1G03990","0.7992663685","33"
"AT1G04000","10.830703468","175"
"AT1G04010","6.1997570322","242"
"AT1G04020","6.0377675876","231"
"AT1G04030","3.2635938659","112"
"AT1G04040","55.7308031224","949"
"AT1G04050","2.7448501961","117"
"AT1G04070","7.2258705012","73"
"AT1G04080","36.6371676733","1822"
"AT1G04090","0.2235589479","7"
"AT1G04100","3.1027781528","62"
"AT1G04110","1.8061274723","67"
"AT1G04120","18.8582293996","1628"
"AT1G04130","5.4881839496","119"
"AT1G04140","33.8363790809","1697"
"AT1G04150","0.1652022123","8"
"AT1G04160","3.5120053244","254"
"AT1G04170","56.701075525","1623"
"AT1G04171","0","0"
"AT1G04180","0.0991409011","2"
"AT1G04190","22.486850826","483"
"AT1G04200","13.531430002","579"
"AT1G04210","14.9726886733","958"
"AT1G04220","7.0354473521","210"
"AT1G04230","9.8968701399","219"
"AT1G04240","15.2362227919","292"
"AT1G04250","17.5509492876","305"
"AT1G04260","12.5811932982","168"
"AT1G04270","382.5774256068","4898"
"AT1G04280","9.3889780933","293"
"AT1G04290","16.7448630767","236"
"AT1G04295","0","0"
"AT1G04300","21.3811727954","1318"
"AT1G04310","4.5733256148","183"
"AT1G04320","0","0"
"AT1G04330","1.3074206329","14"
"AT1G04340","26.608028463","362"
"AT1G04350","32.5515142624","761"
"AT1G04360","0.7502498147","17"
"AT1G04370","0.1561099263","1"
"AT1G04380","0.0979035731","2"
"AT1G04390","3.2291607779","181"
"AT1G04400","67.8046772211","2720"
"AT1G04410","538.1639344889","12734"
"AT1G04420","92.7060412379","2148"
"AT1G04425","0","124"
"AT1G04430","70.560068977","2829"
"AT1G04440","31.7058815597","1077"
"AT1G04445","0.1209175152","1"
"AT1G04450","0","0"
"AT1G04470","0","0"
"AT1G04480","187.0095734948","1953"
"AT1G04490","1.6270123432","44"
"AT1G04500","0.349508486","9"
"AT1G04501","0","0"
"AT1G04510","35.7208109312","1132"
"AT1G04520","12.0467531084","277"
"AT1G04530","35.137896537","757"
"AT1G04540","1.5289437302","44"
"AT1G04550","15.5087137147","345"
"AT1G04555","9.6239525184","152"
"AT1G04560","0","0"
"AT1G04570","0.2918892576","9"
"AT1G04580","1.9725995514","129"
"AT1G04590","17.9038355409","389"
"AT1G04600","0.2900343865","24"
"AT1G04610","0.0361290676","1"
"AT1G04620","43.1765710076","1111"
"AT1G04625","0","18"
"AT1G04630","41.0231741145","489"
"AT1G04635","2.6685183593","29"
"AT1G04640","46.4042252813","945"
"AT1G04645","0.3811104679","3"
"AT1G04650","0.5275334465","27"
"AT1G04660","0.6821325041","14"
"AT1G04670","0","0"
"AT1G04680","79.3671632893","2464"
"AT1G04684","0","0"
"AT1G04690","70.0296993715","1586"
"AT1G04700","0.5006283844","31"
"AT1G04710","18.059618423","459"
"AT1G04720","0","0"
"AT1G04730","3.2871267128","153"
"AT1G04750","85.8159314766","1639"
"AT1G04760","3.5022308357","37"
"AT1G04770","11.1554811881","214"
"AT1G04778","2.6661126632","13"
"AT1G04780","27.8596769002","1260"
"AT1G04790","15.1745401313","556"
"AT1G04800","93.4202929855","1243"
"AT1G04810","23.5217252377","1245"
"AT1G04820","244.3548434602","6633"
"AT1G04830","8.6198315221","289"
"AT1G04840","1.0993326643","35"
"AT1G04850","76.2808874809","1924"
"AT1G04860","10.7592532367","586"
"AT1G04870","25.5910693383","640"
"AT1G04880","0.1977195664","6"
"AT1G04890","0","0"
"AT1G04900","7.8897632658","224"
"AT1G04910","16.9834146326","529"
"AT1G04920","1.1577965363","64"
"AT1G04930","2.360594812","53"
"AT1G04945","13.4946931446","644"
"AT1G04940","24.3194024234","441"
"AT1G04950","13.0999848758","494"
"AT1G04960","15.1908333815","412"
"AT1G04970","18.2043620308","515"
"AT1G04980","23.5975882222","602"
"AT1G04985","35.2648078875","582"
"AT1G04990","19.6667930681","589"
"AT1G05000","5.4911666583","114"
"AT1G05010","200.3229126953","4367"
"AT1G05020","0.6499191216","25"
"AT1G05030","10.5122792206","299"
"AT1G05040","0","0"
"AT1G05055","7.5089291966","179"
"AT1G05060","18.1184205993","290"
"AT1G05065","1.7432275106","7"
"AT1G05070","28.4084465006","417"
"AT1G05080","0","0"
"AT1G05085","0","0"
"AT1G05090","4.0239707175","149"
"AT1G05100","5.3776924147","109"
"AT1G05120","10.064888827","441"
"AT1G05136","0","0"
"AT1G05140","38.0113704491","914"
"AT1G05150","14.6590133715","676"
"AT1G05160","6.4628607995","221"
"AT1G05170","7.6702010465","235"
"AT1G05180","23.0721288163","759"
"AT1G05190","460.9056249652","6874"
"AT1G05200","10.2563000216","580"
"AT1G05205","27.3783739003","245"
"AT1G05210","8.8836685084","110"
"AT1G05220","0.7692280741","12"
"AT1G05230","10.7564068377","523"
"AT1G05240","0","0"
"AT1G05250","0","0"
"AT1G05260","3.0106360977","58"
"AT1G05270","25.9899374303","584"
"AT1G05280","0.0419213029","1"
"AT1G05290","0","0"
"AT1G05291","0","0"
"AT1G05300","5.462519823","175"
"AT1G05310","2.11221284","46"
"AT1G05320","10.0261369247","436"
"AT1G05330","0.3031700018","2"
"AT1G05340","43.9558126715","513"
"AT1G05350","26.9230613925","706"
"AT1G05360","7.8445237976","208"
"AT1G05370","2.501767049","60"
"AT1G05380","10.7881168667","712"
"AT1G05385","21.8721306956","265"
"AT1G05390","0","0"
"AT1G05400","0.693090456","11"
"AT1G05410","10.5554327104","294"
"AT1G05420","0.9215299615","10"
"AT1G05430","26.8787057206","459"
"AT1G05440","1.9315919763","47"
"AT1G05450","1.1256715763","16"
"AT1G05460","4.3510958664","234"
"AT1G05470","6.471150195","279"
"AT1G05490","0.5457060033","40"
"AT1G05500","24.1804657722","817"
"AT1G05510","0.1280738579","2"
"AT1G05520","17.5212565563","730"
"AT1G05530","0","0"
"AT1G05540","2.8166164186","58"
"AT1G05550","0.1781833912","6"
"AT1G05560","35.6759433799","938"
"AT1G05562","0","10"
"AT1G05570","12.8413003908","1281"
"AT1G05575","31.9463101937","253"
"AT1G05577","0.0835635025","2"
"AT1G05580","0","0"
"AT1G05590","6.0665299007","209"
"AT1G05600","3.7632807113","109"
"AT1G05610","0.4712068902","11"
"AT1G05615","0","0"
"AT1G05620","17.2688056543","361"
"AT1G05630","10.3463780951","651"
"AT1G05640","2.1984652681","67"
"AT1G05650","0","0"
"AT1G05660","0","0"
"AT1G05670","2.6548523383","141"
"AT1G05675","3.3206557536","82"
"AT1G05680","6.6559595858","162"
"AT1G05690","2.0414664341","54"
"AT1G05700","0.1716660151","9"
"AT1G05710","19.7444978744","518"
"AT1G05720","27.9273072281","349"
"AT1G05730","1.5333100617","28"
"AT1G05740","0.1432789735","1"
"AT1G05750","3.2292398026","166"
"AT1G05760","4.4543037336","45"
"AT1G05770","1.0081315724","12"
"AT1G05780","7.1926865766","92"
"AT1G05785","9.8488962854","136"
"AT1G05790","14.3652644109","573"
"AT1G05800","0.3102354044","7"
"AT1G05805","26.6438562668","628"
"AT1G05810","13.2376339084","189"
"AT1G05820","1.0454240436","37"
"AT1G05830","9.923621384","629"
"AT1G05835","8.9306886311","75"
"AT1G05840","22.9884278072","640"
"AT1G05850","372.0788202326","8776"
"AT1G05860","6.4570570034","133"
"AT1G05870","11.4982818617","274"
"AT1G05880","0.1817966118","5"
"AT1G05890","32.8083294141","1364"
"AT1G05894","0.29482774","7"
"AT1G05900","8.5557744662","223"
"AT1G05910","9.21761396","586"
"AT1G05920","0","0"
"AT1G05925","0","0"
"AT1G05930","0","1"
"AT1G05940","20.57632636","660"
"AT1G05950","3.4491485958","116"
"AT1G05960","16.4620326147","974"
"AT1G05970","10.6912529703","146"
"AT1G05980","0","0"
"AT1G05990","0.1056501522","1"
"AT1G06000","57.4968499138","1454"
"AT1G06002","0","4"
"AT1G06010","23.1989708515","237"
"AT1G06020","0.1813762728","3"
"AT1G06030","0","0"
"AT1G06040","49.3324063418","1030"
"AT1G06050","5.4802546468","126"
"AT1G06060","20.4872226892","373"
"AT1G06070","10.5422443428","320"
"AT1G06080","2.314777514","46"
"AT1G06090","1.2762089998","23"
"AT1G06100","7.0426391427","103"
"AT1G06110","25.1987772116","633"
"AT1G06120","0","0"
"AT1G06130","23.9800077063","543"
"AT1G06135","0.3448142329","3"
"AT1G06137","0","0"
"AT1G06140","1.0478075913","28"
"AT1G06150","9.0058368051","705"
"AT1G06149","0.5708952629","27"
"AT1G06148","0.1226904993","6"
"AT1G06160","3.7074011503","55"
"AT1G06170","0.1477485353","4"
"AT1G06180","8.8766979814","132"
"AT1G06190","57.6332360637","1353"
"AT1G06200","47.3899626947","738"
"AT1G06210","18.6643937676","498"
"AT1G06220","20.139370156","1137"
"AT1G06225","0","0"
"AT1G06230","18.4257273429","994"
"AT1G06240","11.1859002513","279"
"AT1G06250","2.4205959147","72"
"AT1G06265","0","72"
"AT1G06260","0.4776874625","9"
"AT1G06270","2.6010789434","64"
"AT1G06280","0","0"
"AT1G06290","32.686066316","1254"
"AT1G06310","0.0303170002","1"
"AT1G06320","0.0940872419","1"
"AT1G06330","0","0"
"AT1G06340","0.0858497816","1"
"AT1G06350","12.2783850744","229"
"AT1G06360","31.3236193305","582"
"AT1G06380","7.9021435946","120"
"AT1G06390","47.2746460025","1322"
"AT1G06400","64.080692891","1045"
"AT1G06410","39.1282263645","1991"
"AT1G06420","2.6326987184","43"
"AT1G06430","59.7784021894","2149"
"AT1G06440","2.1018819745","56"
"AT1G06450","2.9559075179","65"
"AT1G06460","102.5802655158","2013"
"AT1G06470","17.5678293444","554"
"AT1G06475","2.4966296354","22"
"AT1G06480","0","0"
"AT1G06490","1.3198597877","132"
"AT1G06500","10.7299673091","161"
"AT1G06515","20.3957618736","231"
"AT1G06510","17.4535525121","321"
"AT1G06520","4.9072509771","156"
"AT1G06530","50.8681782446","813"
"AT1G06540","0.3068762366","2"
"AT1G06550","35.8377220354","907"
"AT1G06560","8.3282758818","276"
"AT1G06570","17.6476545664","437"
"AT1G06580","1.3150663676","43"
"AT1G06590","4.6298864681","240"
"AT1G06610","0","0"
"AT1G06620","32.5438448567","709"
"AT1G06630","9.2390185137","416"
"AT1G06640","195.292277217","4706"
"AT1G06645","12.6380644732","283"
"AT1G06650","50.2972408196","1092"
"AT1G06660","2.5932310075","70"
"AT1G06670","9.7111056654","802"
"AT1G06680","1560.0650861504","28459"
"AT1G06690","41.6115560406","930"
"AT1G06700","44.5355401547","1323"
"AT1G06710","1.8911315416","103"
"AT1G06720","11.6520244103","713"
"AT1G06730","9.9810404416","313"
"AT1G06750","0.570757903","25"
"AT1G06760","160.8631155256","2798"
"AT1G06770","4.8690147709","171"
"AT1G06780","5.473663664","220"
"AT1G06790","8.471221291","197"
"AT1G06800","4.8537261772","161"
"AT1G06810","0","0"
"AT1G06820","19.5269386777","634"
"AT1G06830","37.5294445443","302"
"AT1G06840","6.1981422598","332"
"AT1G06850","10.1814238939","239"
"AT1G06860","0","0"
"AT1G06870","12.4619583743","336"
"AT1G06880","0","0"
"AT1G06890","47.9517956417","1334"
"AT1G06900","18.6264344727","1018"
"AT1G06910","4.5177885745","112"
"AT1G06920","0.0661985131","1"
"AT1G06923","0","0"
"AT1G06925","0","0"
"AT1G06930","0","0"
"AT1G06950","60.0861171023","3185"
"AT1G06960","15.5593860447","270"
"AT1G06970","0.0756098679","3"
"AT1G06980","0.3173511524","4"
"AT1G06990","0.1018769324","2"
"AT1G07000","35.2538480546","1145"
"AT1G07010","27.3691002273","721"
"AT1G07020","22.7188582386","247"
"AT1G07025","0","0"
"AT1G07030","15.8908701437","379"
"AT1G07040","24.9377224304","667"
"AT1G07050","23.8820076238","319"
"AT1G07051","0","1"
"AT1G07060","0","0"
"AT1G07070","28.2675709714","260"
"AT1G07080","54.1001641211","1058"
"AT1G07090","11.113768604","167"
"AT1G07100","0","0"
"AT1G07110","59.8093369629","2585"
"AT1G07119","0","19"
"AT1G07120","0.727467431","16"
"AT1G07128","0","55"
"AT1G07130","8.9745282694","137"
"AT1G07135","480.01627041","5599"
"AT1G07140","123.0969920479","2818"
"AT1G07150","3.7601072726","100"
"AT1G07160","1.5474129135","36"
"AT1G07170","18.8604165742","283"
"AT1G07175","1.4049893369","6"
"AT1G07180","4.0363321553","116"
"AT1G07190","0","0"
"AT1G07200","15.4687084343","860"
"AT1G07210","34.1305596806","652"
"AT1G07220","15.3427698044","444"
"AT1G07230","21.5172776911","711"
"AT1G07240","18.3780898049","516"
"AT1G07250","18.9360310506","503"
"AT1G07260","2.9087457882","80"
"AT1G07270","0.7854859139","19"
"AT1G07280","65.8477706616","2322"
"AT1G07290","2.2820432866","42"
"AT1G07300","5.5498671765","65"
"AT1G07310","22.3728194199","518"
"AT1G07320","237.2446045268","5253"
"AT1G07330","0.0914813271","3"
"AT1G07340","0.2977755178","8"
"AT1G07350","23.0887788062","603"
"AT1G07360","22.8136772609","617"
"AT1G07370","17.5105077549","286"
"AT1G07380","4.6128481818","177"
"AT1G07390","1.7373182648","98"
"AT1G07400","3.7684477067","49"
"AT1G07410","3.4079520604","43"
"AT1G07420","22.0422802962","512"
"AT1G07430","3.4883738186","102"
"AT1G07440","59.1628923829","1210"
"AT1G07450","1.4160371163","22"
"AT1G07460","0","0"
"AT1G07470","22.4420706822","563"
"AT1G07473","0.2037538649","3"
"AT1G07476","0","0"
"AT1G07480","16.5243792676","553"
"AT1G07485","1.706361672","26"
"AT1G07490","0.2932532261","3"
"AT1G07500","1.6734984101","8"
"AT1G07510","13.2095649275","624"
